Name,Date,Period,School,Sport
"Sullivan, Kelly ",2018-2019,Sep 2017 -  ,Seattle University ,Men's Cross Country 
"Sullivan, Kelly ",2018-2019,Sep 2017 -  ,Seattle University ,"Women's Track, Indoor "
"Sullivan, Kelly ",2018-2019,Sep 2017 -  ,Seattle University ,Women's Cross Country 
"Sullivan, Kelly ",2018-2019,Sep 2017 -  ,Seattle University ,"Men's Track, Indoor "
"Sullivan, Kevin ",2018-2019,Aug 2014 -  ,University of Michigan ,Men's Cross Country 
"Sumlin, Kevin ",2018-2019,Feb 2018 - Feb 2021 ,University of Arizona ,Football 
"Sumski, Lauren ",2018-2019,Jun 2019 -  ,Lipscomb University ,Women's Basketball 
"Sunahara, Reed ",2018-2019,Apr 2015 -  ,West Virginia University ,Women's Volleyball 
"Sunderman, Kristyl ",2018-2019,Oct 2018 -  ,University of North Dakota ,Women's Golf 
"Sung, John ",2018-2019,Jun 2016 -  ,Virginia Polytechnic Institute and State University ,Women's Lacrosse 
"Surace, Bob ",2018-2019,Aug 2009 -  ,Princeton University ,Football 
"Surrency, Brett ",2018-2019,Jul 2010 -  ,Georgia State University ,Men's Soccer 
"Susan, Joe ",2018-2019,Mar 2010 - Mar 2019 ,Bucknell University ,Football 
"Sussman, Gary ",2018-2019,Oct 2017 -  ,Marist College ,Women's Tennis 
"Sussman, Gary ",2018-2019,Aug 2018 -  ,Marist College ,Men's Tennis 
"Sutcliffe, Christina ",2018-2019,Aug 2012 -  ,Northern Illinois University ,Softball 
"Sutherland, Abbey ",2018-2019,Apr 2018 -  ,University of Wisconsin-Green Bay ,Women's Volleyball 
"Sutherland, David ",2018-2019,Sep 2007 -  ,"California State University, Sacramento ",Women's Golf 
"Sutherland, Jeanne ",2018-2019,May 2011 -  ,Southern Methodist University ,Women's Golf 
"Sutton, Donika ",2018-2019,Mar 2017 -  ,Tennessee State University ,Women's Volleyball 
"Swain, Alison ",2018-2019,Jul 2017 -  ,University of Southern California ,Women's Tennis 
"Swan, Arvid ",2018-2019,Sep 2007 -  ,Northwestern University ,Men's Tennis 
"Swan, Ryan ",2018-2019,Mar 2017 -  ,Northern Illinois University ,Men's Soccer 
"Swanson, Edward ",2018-2019,Jun 2013 -  ,William & Mary ,Women's Basketball 
"Swanson, Ryan ",2018-2019,Feb 2016 -  ,St. Bonaventure University ,Men's Golf 
"Swanson, Steve ",2018-2019,Aug 2003 -  ,University of Virginia ,Women's Soccer 
"Swartout-Mosher, Elise ",2018-2019,Oct 2016 - Dec 2020 ,Western Michigan University ,Women's Golf 
"Sweeney, Lisa ",2018-2019,Aug 2012 -  ,Princeton University ,Softball 
"Sweeney, Patrick ",2018-2019,Aug 2004 -  ,Kansas State University ,Women's Rowing 
"Swieton, Jennifer ",2018-2019,Sep 2017 -  ,Central Michigan University ,Women's Cross Country 
"Swieton, Jennifer ",2018-2019,Sep 2017 -  ,Central Michigan University ,"Men's Track, Outdoor "
"Swieton, Jennifer ",2018-2019,Sep 2017 -  ,Central Michigan University ,Men's Cross Country 
"Swieton, Jennifer ",2018-2019,Sep 2017 -  ,Central Michigan University ,"Men's Track, Indoor "
"Swieton, Jennifer ",2018-2019,Sep 2017 -  ,Central Michigan University ,"Women's Track, Indoor "
"Swieton, Jennifer ",2018-2019,Sep 2017 -  ,Central Michigan University ,"Women's Track, Outdoor "
"Swindle, Marc ",2018-2019,May 2016 - Jan 2019 ,U.S. Air Force Academy ,Women's Volleyball 
"Swinney, Dabo ",2018-2019,Jan 2009 -  ,Clemson University ,Football 
"Switzer, Mitchell ",2018-2019,Jul 2015 -  ,Bryant University ,Women's Cross Country 
"Switzer, Mitchell ",2018-2019,Jul 2015 -  ,Bryant University ,"Men's Track, Outdoor "
"Switzer, Mitchell ",2018-2019,Jul 2015 -  ,Bryant University ,"Women's Track, Indoor "
"Switzer, Mitchell ",2018-2019,Jul 2015 -  ,Bryant University ,"Men's Track, Indoor "
"Switzer, Mitchell ",2018-2019,Jul 2015 -  ,Bryant University ,"Women's Track, Outdoor "
"Switzer, Mitchell ",2018-2019,Jul 2015 -  ,Bryant University ,Men's Cross Country 
"Swope, Lisa ",2018-2019,Feb 2019 -  ,Saint Francis University (Pennsylvania) ,Women's Tennis 
"Sykes, Phil ",2018-2019,Aug 2004 -  ,University at Albany ,Field Hockey 
"Sylvan-Van Norden, Millicent ",2018-2019,Jun 2014 -  ,University of New Orleans ,Women's Volleyball 
"Sylvan-Van Norden, Millicent ",2018-2019,Jun 2014 -  ,University of New Orleans ,Women's Beach Volleyball 
"Sythe, Andy ",2018-2019,Aug 2003 -  ,Long Beach State University ,Women's Cross Country 
"Sythe, Andy ",2018-2019,Aug 2003 -  ,Long Beach State University ,Men's Cross Country 
"Sythe, Andy ",2018-2019,Jul 2003 -  ,Long Beach State University ,"Women's Track, Outdoor "
"Sythe, Andy ",2018-2019,Jul 2003 -  ,Long Beach State University ,"Women's Track, Indoor "
"Sythe, Andy ",2018-2019,Aug 2003 -  ,Long Beach State University ,"Men's Track, Indoor "
"Sythe, Andy ",2018-2019,Aug 2003 -  ,Long Beach State University ,"Men's Track, Outdoor "
"Szefc, John ",2018-2019,Jul 2017 -  ,Virginia Polytechnic Institute and State University ,Baseball 
"Szumilo, Angelika ",2018-2019,Jun 2019 -  ,"Fairleigh Dickinson University, Metropolitan Campus ",Women's Basketball 
"Tadlock, Tim ",2018-2019,Jul 2012 -  ,Texas Tech University ,Baseball 
"Taggart, Willie ",2018-2019,Feb 2018 - Dec 2019 ,Florida State University ,Football 
"Taglianetti, Candace ",2018-2019,Sep 2008 - Sep 2018 ,La Salle University ,Women's Lacrosse 
"Tagliente, Carla ",2018-2019,Aug 2016 -  ,Princeton University ,Field Hockey 
"Takaishi, Kathleen ",2018-2019,Sep 2013 -  ,"University of Nevada, Reno ",Women's Golf 
"Talley, Corbin ",2018-2019,Aug 2017 -  ,Weber State University ,Men's Cross Country 
"Talley, Corbin ",2018-2019,Aug 2017 -  ,Weber State University ,"Men's Track, Indoor "
"Talley, Corbin ",2018-2019,Aug 2017 -  ,Weber State University ,"Men's Track, Outdoor "
"Tamas, Chris ",2018-2019,Mar 2017 -  ,University of Illinois Urbana-Champaign ,Women's Volleyball 
"Tambroni, Jeff ",2018-2019,Jul 2010 -  ,Pennsylvania State University ,Men's Lacrosse 
"Tamer, Remy ",2018-2019,Sep 2016 -  ,High Point University ,Women's Cross Country 
"Tanasoui, Silviu ",2018-2019,Nov 2011 -  ,Cornell University ,Men's Tennis 
"Tanelli, Zach ",2018-2019,Aug 2016 -  ,Columbia University-Barnard College ,Men's Wrestling 
"Tank, Andrew ",2018-2019,Aug 2010 -  ,Iowa State University ,Men's Golf 
"Tanner, John ",2018-2019,Sep 1997 -  ,Stanford University ,Women's Water Polo 
"Tanoue, Ryan ",2018-2019,May 2012 -  ,The Ohio State University ,Mixed Rifle 
"Tarr, Derek ",2018-2019,May 1991 -  ,University of Alabama at Birmingham ,Men's Tennis 
"Tarr, Heather ",2018-2019,Aug 2004 -  ,University of Washington ,Softball 
"Tartamella, Joseph ",2018-2019,May 2012 -  ,St. John's University (New York) ,Women's Basketball 
"Tate, Jr., Fermon ",2018-2019,Nov 2018 - May 2020 ,Alcorn State University ,"Women's Track, Indoor "
"Tate, Jr., Fermon ",2018-2019,Nov 2018 - May 2020 ,Alcorn State University ,Men's Cross Country 
"Tate, Jr., Fermon ",2018-2019,Nov 2018 - May 2020 ,Alcorn State University ,Women's Cross Country 
"Tate, Jr., Fermon ",2018-2019,Nov 2018 - May 2020 ,Alcorn State University ,"Men's Track, Outdoor "
"Tate, Jr., Fermon ",2018-2019,Nov 2018 - May 2020 ,Alcorn State University ,"Men's Track, Indoor "
"Tate, Jr., Fermon ",2018-2019,Nov 2018 - May 2020 ,Alcorn State University ,"Women's Track, Outdoor "
"Tate, Philip ",2018-2019,Aug 2015 -  ,The University of Texas Rio Grande Valley ,Men's Golf 
"Taurence, Eric ",2018-2019,Aug 2019 -  ,University of Detroit Mercy ,Men's Golf 
"Taylor, Bill ",2018-2019,Aug 2007 - Jul 2019 ,Lipscomb University ,Men's Cross Country 
"Taylor, Bill ",2018-2019,Aug 2007 - Jul 2019 ,Lipscomb University ,"Women's Track, Indoor "
"Taylor, Bill ",2018-2019,Aug 2007 - Jul 2019 ,Lipscomb University ,"Women's Track, Outdoor "
"Taylor, Bill ",2018-2019,Aug 2007 - Jul 2019 ,Lipscomb University ,Women's Cross Country 
"Taylor, Bill ",2018-2019,Aug 2007 - Jul 2019 ,Lipscomb University ,"Men's Track, Indoor "
"Taylor, Bill ",2018-2019,Aug 2007 - Jul 2019 ,Lipscomb University ,"Men's Track, Outdoor "
"Taylor, Carl ",2018-2019,Aug 2015 -  ,Drexel University ,Softball 
"Taylor, Dedrique ",2018-2019,Jun 2013 -  ,"California State University, Fullerton ",Men's Basketball 
"Taylor, Dennis ",2018-2019,Aug 1986 - Jun 2020 ,University of Tennessee at Martin ,Women's Tennis 
"Taylor, Gary ",2018-2019,Jun 2018 -  ,Auburn University ,Men's Swimming and Diving 
"Taylor, Gary ",2018-2019,Jun 2018 -  ,Auburn University ,Women's Swimming and Diving 
"Taylor, Joni ",2018-2019,May 2015 -  ,University of Georgia ,Women's Basketball 
"Taylor, Josh ",2018-2019,Jul 2016 -  ,"University of Nevada, Reno ",Softball 
"Taylor, Kathy ",2018-2019,Jul 2019 -  ,Colgate University ,Women's Lacrosse 
"Taylor, Lori ",2018-2019,Jul 2001 -  ,University of Richmond ,"Women's Track, Outdoor "
"Taylor, Lori ",2018-2019,Jul 2001 -  ,University of Richmond ,"Women's Track, Indoor "
"Taylor, Lori ",2018-2019,Aug 2001 -  ,University of Richmond ,Women's Cross Country 
"Taylor, Rucker ",2018-2019,Aug 2018 -  ,Davidson College ,Baseball 
"Taylor, Steve ",2018-2019,Aug 2001 -  ,University of Richmond ,Men's Cross Country 
"Taylor, Troy ",2018-2019,Feb 2019 -  ,"California State University, Sacramento ",Football 
"Taylor, Venus ",2018-2019,Nov 2018 - Mar 2021 ,Charleston Southern University ,Softball 
"Teaberry, Connie ",2018-2019,Sep 2004 -  ,Northern Illinois University ,"Women's Track, Outdoor "
"Teaberry, Connie ",2018-2019,Sep 2004 -  ,Northern Illinois University ,"Women's Track, Indoor "
"Teague, Jennifer ",2018-2019,Sep 2014 -  ,Columbia University-Barnard College ,Softball 
"Teclaw, Steve ",2018-2019,Aug 2012 - Sep 2018 ,University of Wisconsin-Green Bay ,Women's Skiing 
"Teclaw, Steve ",2018-2019,Aug 2012 - Sep 2018 ,University of Wisconsin-Green Bay ,Men's Skiing 
"Tedford, Jeff ",2018-2019,Dec 2016 - Feb 2020 ,"California State University, Fresno ",Football 
"Teepe, Eric ",2018-2019,Mar 2014 -  ,"Fairleigh Dickinson University, Metropolitan Campus ",Women's Soccer 
"Teeter, Scott ",2018-2019,Jan 2018 -  ,University of Louisville ,Women's Lacrosse 
"Teevens, Buddy ",2018-2019,Jan 2005 -  ,Dartmouth College ,Football 
"Teitelbaum, Andrew ",2018-2019,Sep 1995 - Aug 2020 ,The Ohio State University ,Women's Rowing 
"Temple, Anna ",2018-2019,Sep 2012 -  ,"University of California, Davis ",Women's Golf 
"Tendler, Mary ",2018-2019,May 2003 -  ,Elon University ,Women's Volleyball 
"Tenyer, Robert ",2018-2019,Feb 2013 -  ,Morehead State University ,Football 
"Terrell-Kearney, Kimberly ",2018-2019,Oct 2016 -  ,North Carolina A&T State University ,Women's Bowling 
"Terrill, Eric ",2018-2019,Aug 2003 - May 2020 ,Charleston Southern University ,Women's Soccer 
"Terry, Darius ",2018-2019,Jul 2018 - Dec 2019 ,"University of California, Santa Barbara ","Women's Track, Indoor "
"Terry, Darius ",2018-2019,Jul 2018 - Dec 2019 ,"University of California, Santa Barbara ","Women's Track, Outdoor "
"Terry, Darius ",2018-2019,Jul 2018 - Dec 2019 ,"University of California, Santa Barbara ","Men's Track, Outdoor "
"Terry, Matt ",2018-2019,Sep 2017 -  ,Louisiana Tech University ,Men's Golf 
"Terry, Rodney ",2018-2019,Apr 2018 -  ,University of Texas at El Paso ,Men's Basketball 
"Terry, Stacie ",2018-2019,Jun 2013 -  ,San Diego State University ,Women's Basketball 
"Thees, Windy ",2018-2019,Aug 2018 -  ,Winthrop University ,Softball 
"Theis, Ryan ",2018-2019,Mar 2014 -  ,Marquette University ,Women's Volleyball 
"Thibodeau, Simon ",2018-2019,Aug 2012 -  ,"University of California, Santa Barbara ",Women's Tennis 
"Thibodeaux, Seth ",2018-2019,Aug 2010 -  ,Nicholls State University ,Baseball 
"Thomas, Brian ",2018-2019,Aug 2018 -  ,George Washington University ,Women's Swimming and Diving 
"Thomas, Brian ",2018-2019,Aug 2018 -  ,George Washington University ,Men's Swimming and Diving 
"Thomas, Cedric ",2018-2019,Aug 2018 - Mar 2020 ,"University of Arkansas, Pine Bluff ",Football 
"Thomas, Charles ",2018-2019,Sep 2013 - May 2019 ,Bethune-Cookman University ,Women's Bowling 
"Thomas, Darin ",2018-2019,Jul 2008 -  ,University of Texas at Arlington ,Baseball 
"Thomas, Gina ",2018-2019,Jul 2012 -  ,University of Cincinnati ,Women's Lacrosse 
"Thomas, Jeff ",2018-2019,Aug 2004 -  ,Liberty University ,Men's Golf 
"Thomas, Jim ",2018-2019,Mar 2013 -  ,Boise State University ,Women's Soccer 
"Thomas, Kurt ",2018-2019,Aug 2009 -  ,University of Alabama at Birmingham ,"Women's Track, Indoor "
"Thomas, Kurt ",2018-2019,Aug 2009 -  ,University of Alabama at Birmingham ,"Women's Track, Outdoor "
"Thomas, Michael ",2018-2019,Feb 2018 -  ,University of South Dakota ,Women's Soccer 
"Thomas, Paul ",2018-2019,Sep 2006 -  ,Saint Mary's College of California ,Women's Basketball 
"Thomas, Randy ",2018-2019,Nov 1993 -  ,Boston College ,"Women's Track, Outdoor "
"Thomas, Randy ",2018-2019,Nov 1993 -  ,Boston College ,"Women's Track, Indoor "
"Thomas, Randy ",2018-2019,Sep 1987 -  ,Boston College ,Women's Cross Country 
"Thomas, Tyson ",2018-2019,Jul 2014 - Sep 2019 ,University of Nebraska Omaha ,Men's Tennis 
"Thomason, Meghan ",2018-2019,Aug 2014 -  ,"California State University, Bakersfield ",Women's Golf 
"Thompson, Brent ",2018-2019,Feb 2016 -  ,The Citadel ,Football 
"Thompson, Brock ",2018-2019,Feb 2017 -  ,South Dakota State University ,Women's Soccer 
"Thompson, Butch ",2018-2019,Nov 2015 -  ,Auburn University ,Baseball 
"Thompson, Catrina ",2018-2019,Sep 2017 -  ,"University of Minnesota, Twin Cities ",Women's Tennis 
"Thompson, Christian ",2018-2019,Jul 2013 -  ,University of Denver ,Women's Tennis 
"Thompson, Edwin ",2018-2019,Aug 2015 - Oct 2020 ,Eastern Kentucky University ,Baseball 
"Thompson, Fred ",2018-2019,Nov 2016 - Jan 2020 ,Southern Utah University ,Women's Soccer 
"Thompson, Jim ",2018-2019,Sep 1998 -  ,Virginia Polytechnic Institute and State University ,Men's Tennis 
"Thompson, Kari L. ",2018-2019,Jul 2017 - Feb 2019 ,Southern Illinois University at Carbondale ,Women's Volleyball 
"Thompson, Mike ",2018-2019,Sep 1994 -  ,Binghamton University ,"Men's Track, Outdoor "
"Thompson, Mike ",2018-2019,Sep 1994 -  ,Binghamton University ,"Women's Track, Outdoor "
"Thompson, Mike ",2018-2019,Sep 1994 -  ,Binghamton University ,"Men's Track, Indoor "
"Thompson, Mike ",2018-2019,Sep 1994 -  ,Binghamton University ,"Women's Track, Indoor "
"Thompson, Soyini ",2018-2019,Sep 2016 -  ,Charleston Southern University ,Women's Cross Country 
"Thompson, Soyini ",2018-2019,Sep 2016 -  ,Charleston Southern University ,"Women's Track, Indoor "
"Thompson, Soyini ",2018-2019,Sep 2016 -  ,Charleston Southern University ,"Women's Track, Outdoor "
"Thompson, Tina ",2018-2019,Jun 2018 -  ,University of Virginia ,Women's Basketball 
"Thompson-Graves, Cami ",2018-2019,Aug 2005 -  ,Dartmouth College ,Women's Skiing 
"Thomson, Scott ",2018-2019,Aug 2003 -  ,Mount St. Mary's University ,Baseball 
"Thomson, Tyler ",2018-2019,Aug 2012 - Sep 2018 ,William & Mary ,Women's Tennis 
"Thorne, Kenny ",2018-2019,Nov 1997 -  ,Georgia Institute of Technology ,Men's Tennis 
"Thorne, Mark ",2018-2019,Aug 2019 -  ,Jackson State University ,"Women's Track, Outdoor "
"Thorne, Mark ",2018-2019,Aug 2010 -  ,Jackson State University ,"Men's Track, Outdoor "
"Thorne, Mark ",2018-2019,Aug 2010 -  ,Jackson State University ,Men's Cross Country 
"Thorne, Mark ",2018-2019,Aug 2019 -  ,Jackson State University ,Women's Cross Country 
"Thorne, Mark ",2018-2019,Aug 2019 -  ,Jackson State University ,"Women's Track, Indoor "
"Thorne, Mark ",2018-2019,Aug 2010 -  ,Jackson State University ,"Men's Track, Indoor "
"Thornqvist, Roland ",2018-2019,Aug 2003 -  ,University of Florida ,Women's Tennis 
"Thornton, Scott ",2018-2019,Aug 2013 - Nov 2018 ,Delaware State University ,Women's Golf 
"Thorpe, Erin ",2018-2019,Aug 2014 -  ,"University of California, Davis ",Softball 
"Threehouse, Mike ",2018-2019,Feb 1997 -  ,St. Bonaventure University ,Softball 
"Thunell, Meagan ",2018-2019,Jun 2019 - Feb 2020 ,Weber State University ,Women's Soccer 
"Thurmond, Matt ",2018-2019,Aug 2016 -  ,Arizona State University ,Men's Golf 
"Thurnhoffer, Bob ",2018-2019,Sep 2016 -  ,Loyola University Chicago ,"Women's Track, Indoor "
"Thurnhoffer, Bob ",2018-2019,Sep 2016 -  ,Loyola University Chicago ,Men's Cross Country 
"Thurnhoffer, Bob ",2018-2019,Sep 2016 -  ,Loyola University Chicago ,"Men's Track, Indoor "
"Thurnhoffer, Bob ",2018-2019,Sep 2016 -  ,Loyola University Chicago ,Women's Cross Country 
"Thurnhoffer, Bob ",2018-2019,Sep 2016 -  ,Loyola University Chicago ,"Women's Track, Outdoor "
"Thurnhoffer, Bob ",2018-2019,Sep 2016 -  ,Loyola University Chicago ,"Men's Track, Outdoor "
"Thurstin, Katie ",2018-2019,Sep 2017 -  ,Stetson University ,Women's Rowing 
"Tiber, Missy ",2018-2019,Jun 2013 -  ,University of North Alabama ,Women's Basketball 
"Tidwell, Larry ",2018-2019,Jun 2013 - Nov 2020 ,The University of Texas Rio Grande Valley ,Women's Basketball 
"Tierney Walker, Dorsey ",2018-2019,Aug 2016 - Aug 2019 ,University of New Mexico ,Women's Swimming and Diving 
"Tierney, Bill ",2018-2019,Jul 2009 -  ,University of Denver ,Men's Lacrosse 
"Tierney, Brianne ",2018-2019,Sep 2018 -  ,Kent State University ,Women's Lacrosse 
"Tierney, Seth ",2018-2019,Sep 2006 -  ,Hofstra University ,Men's Lacrosse 
"Tiffany, Lars ",2018-2019,Jul 2016 -  ,University of Virginia ,Men's Lacrosse 
"Tiffin, Jeremiah ",2018-2019,Jun 2019 -  ,University of North Dakota ,Women's Volleyball 
"Tiffin, Rod ",2018-2019,Jul 2008 -  ,Samford University ,"Women's Track, Indoor "
"Tiffin, Rod ",2018-2019,Aug 2008 -  ,Samford University ,Women's Cross Country 
"Tiffin, Rod ",2018-2019,Aug 2008 -  ,Samford University ,Men's Cross Country 
"Tiffin, Rod ",2018-2019,Aug 2008 -  ,Samford University ,"Men's Track, Indoor "
"Tiffin, Rod ",2018-2019,Jul 2008 -  ,Samford University ,"Women's Track, Outdoor "
"Tiffin, Rod ",2018-2019,Aug 2008 -  ,Samford University ,"Men's Track, Outdoor "
"Tillett, Rebecca ",2018-2019,May 2018 -  ,Longwood University ,Women's Basketball 
"Tillman, John ",2018-2019,Jul 2010 -  ,"University of Maryland, College Park ",Men's Lacrosse 
"Timchal, Cindy ",2018-2019,Sep 2006 -  ,U.S. Naval Academy ,Women's Lacrosse 
"Tinkle, Wayne ",2018-2019,Jun 2014 -  ,Oregon State University ,Men's Basketball 
"Tisdale, Sara ",2018-2019,Aug 2014 -  ,Central Michigan University ,Women's Lacrosse 
"Tjia, Mark ",2018-2019,Apr 2014 -  ,University of Alabama at Birmingham ,Women's Tennis 
"Tobin, Simon ",2018-2019,Feb 2014 -  ,San Jose State University ,Men's Soccer 
"Todd, Greg ",2018-2019,May 2014 -  ,Morehead State University ,Women's Basketball 
"Todd, Rick ",2018-2019,Dec 2015 -  ,"University of California, Riverside ",Men's Golf 
"Tollett, Dave ",2018-2019,Aug 2002 -  ,Florida Gulf Coast University ,Baseball 
"Tolsma, Brant C. ",2018-2019,Sep 1986 - Jul 2020 ,Liberty University ,Women's Cross Country 
"Tolsma, Brant C. ",2018-2019,Sep 1986 - Jul 2020 ,Liberty University ,"Women's Track, Outdoor "
"Tolsma, Brant C. ",2018-2019,Aug 1986 - Jul 2020 ,Liberty University ,"Women's Track, Indoor "
"Tolsma, Brant C. ",2018-2019,Aug 1986 - Jul 2020 ,Liberty University ,"Men's Track, Outdoor "
"Tolsma, Brant C. ",2018-2019,Aug 1986 - Jul 2020 ,Liberty University ,"Men's Track, Indoor "
"Tolsma, Brant C. ",2018-2019,Aug 1986 - Jul 2020 ,Liberty University ,Men's Cross Country 
"Tolson, Chris ",2018-2019,Nov 2018 -  ,Eastern Illinois University ,Men's Tennis 
"Tolson, Chris ",2018-2019,Sep 2018 -  ,Eastern Illinois University ,Women's Tennis 
"Toman, Jim ",2018-2019,Jul 2018 -  ,Middle Tennessee State University ,Baseball 
"Tomasevic, Sanja ",2018-2019,Feb 2017 -  ,Arizona State University ,Women's Volleyball 
"Tomic, Danijela ",2018-2019,Sep 2012 -  ,Bowling Green State University ,Women's Volleyball 
"Tomlinson, Ryan ",2018-2019,Aug 2015 -  ,Western Michigan University ,Women's Tennis 
"Tonelli, Guillaume ",2018-2019,Oct 2011 -  ,"University of Nevada, Reno ",Women's Tennis 
"Tonry, Barbara ",2018-2019,Aug 1973 -  ,Yale University ,Women's Gymnastics 
"Toole, Andrew ",2018-2019,Jun 2010 -  ,Robert Morris University ,Men's Basketball 
"Toomey, Charley ",2018-2019,Aug 2005 -  ,Loyola University Maryland ,Men's Lacrosse 
"Torbett, Julie ",2018-2019,Mar 2013 - Apr 2020 ,East Carolina University ,Women's Volleyball 
"Torina, Elizabeth ",2018-2019,Jul 2011 -  ,Louisiana State University ,Softball 
"Torok, Carol ",2018-2019,May 2016 -  ,Bradley University ,Women's Volleyball 
"Torpey, Jon ",2018-2019,Jul 2011 -  ,High Point University ,Men's Lacrosse 
"Torres, Johnny ",2018-2019,Dec 2018 -  ,Creighton University ,Men's Soccer 
"Toth, Eric ",2018-2019,Feb 2015 -  ,University of Cincinnati ,Women's Tennis 
"Totten, Roger ",2018-2019,Feb 2017 -  ,"University of Arkansas, Pine Bluff ",Men's Golf 
"Towne, Greg ",2018-2019,Sep 2010 -  ,Indiana State University ,Women's Golf 
"Townes, Matt ",2018-2019,Feb 2015 -  ,Morgan State University ,Women's Tennis 
"Townes, Matt ",2018-2019,Feb 2015 -  ,Morgan State University ,Men's Tennis 
"Trachsel, Jamie ",2018-2019,Aug 2017 - Jun 2020 ,"University of Minnesota, Twin Cities ",Softball 
"Tracz, Chris ",2018-2019,Aug 2009 -  ,Marist College ,Baseball 
"Trainor, David ",2018-2019,Jul 2011 -  ,University of Akron ,Men's Golf 
"Trakh, Mark ",2018-2019,May 2017 -  ,University of Southern California ,Women's Basketball 
"Tramel, Bill ",2018-2019,Jul 2012 - Nov 2018 ,Marshall University ,Women's Swimming and Diving 
"Tran, Mai-Ly ",2018-2019,Aug 2016 -  ,Drake University ,Women's Tennis 
"Trapasso, Mike ",2018-2019,Aug 2003 -  ,"University of Hawaii, Manoa ",Baseball 
"Traquair, Ciaran ",2018-2019,Sep 2016 -  ,The Citadel ,Women's Soccer 
"Trask, John ",2018-2019,Feb 2010 -  ,University of Wisconsin-Madison ,Men's Soccer 
"Trautman, Jordan ",2018-2019,Aug 2017 -  ,Monmouth University ,Women's Lacrosse 
"Treacy, Ray ",2018-2019,Feb 2015 -  ,Providence College ,"Women's Track, Outdoor "
"Treacy, Ray ",2018-2019,Aug 2003 -  ,Providence College ,Men's Cross Country 
"Treacy, Ray ",2018-2019,Aug 2003 -  ,Providence College ,"Men's Track, Indoor "
"Treacy, Ray ",2018-2019,Aug 2003 -  ,Providence College ,Women's Cross Country 
"Treacy, Ray ",2018-2019,Feb 2015 -  ,Providence College ,"Women's Track, Indoor "
"Treacy, Ray ",2018-2019,Aug 2003 -  ,Providence College ,"Men's Track, Outdoor "
"Trevino, Pedro ",2018-2019,Feb 2019 -  ,New Jersey Institute of Technology ,Women's Volleyball 
"Trew, Sarah ",2018-2019,Aug 2011 -  ,Florida Gulf Coast University ,Women's Golf 
"Tribble, Adam ",2018-2019,Sep 2018 -  ,California Baptist University ,"Women's Track, Indoor "
"Tribble, Adam ",2018-2019,Sep 2018 -  ,California Baptist University ,Women's Cross Country 
"Tribble, Adam ",2018-2019,Sep 2018 -  ,California Baptist University ,Men's Cross Country 
"Tribble, Adam ",2018-2019,Sep 2018 -  ,California Baptist University ,"Men's Track, Indoor "
"Tribble, Adam ",2018-2019,Feb 2019 -  ,California Baptist University ,"Women's Track, Outdoor "
"Tribble, Adam ",2018-2019,Feb 2019 -  ,California Baptist University ,"Men's Track, Outdoor "
"Trimble, Courtney ",2018-2019,Jul 2012 - Aug 2019 ,University of Louisville ,Women's Golf 
"Trimper, Steve ",2018-2019,Jan 2017 -  ,Stetson University ,Baseball 
"Trisciani, Tony ",2018-2019,Feb 2019 -  ,Elon University ,Football 
"Trivette, Jeff ",2018-2019,Jan 2015 -  ,The University of North Carolina at Greensboro ,Men's Tennis 
"Trout, Steven ",2018-2019,Aug 2019 -  ,Texas State University ,Baseball 
"Trowbridge, Sarah ",2018-2019,Sep 2017 -  ,University of San Diego ,Women's Rowing 
"Troyan, Fran ",2018-2019,Aug 1995 -  ,Lehigh University ,Softball 
"Troyan, Sue ",2018-2019,May 1995 -  ,Lehigh University ,Women's Basketball 
"Trujillo, Jill ",2018-2019,Aug 2007 -  ,University of New Mexico ,Women's Golf 
"Tsipis, Jonathan ",2018-2019,Apr 2016 -  ,University of Wisconsin-Madison ,Women's Basketball 
"Tucker, Janine ",2018-2019,Aug 2003 -  ,Johns Hopkins University ,Women's Lacrosse 
"Tucker, Mark ",2018-2019,Dec 2016 - Feb 2019 ,Charleston Southern University ,Football 
"Tucker, Mel ",2018-2019,Feb 2019 - Mar 2020 ,"University of Colorado, Boulder ",Football 
"Tucker, Ty ",2018-2019,Mar 2000 -  ,The Ohio State University ,Men's Tennis 
"Tudor, Amy ",2018-2019,Sep 2013 -  ,Western Kentucky University ,Softball 
"Tulleners, Andy ",2018-2019,Sep 2017 -  ,Cleveland State University ,Women's Fencing 
"Tulleners, Andy ",2018-2019,Sep 2017 -  ,Cleveland State University ,Men's Fencing 
"Tully, Shannon ",2018-2019,Sep 2001 -  ,University of Illinois Chicago ,Women's Tennis 
"Tumolo, Michelle ",2018-2019,Aug 2018 -  ,Wagner College ,Women's Lacrosse 
"Tungate, Jeff ",2018-2019,Aug 2013 - Jan 2020 ,Oakland University ,Women's Basketball 
"Turgeon, Jim ",2018-2019,May 2017 - Aug 2020 ,University of Denver ,Women's Basketball 
"Turgeon, Mark ",2018-2019,Jun 2011 -  ,"University of Maryland, College Park ",Men's Basketball 
"Turk, Mike H. ",2018-2019,Nov 2018 - Nov 2020 ,University of Illinois Urbana-Champaign ,Women's Cross Country 
"Turk, Mike H. ",2018-2019,Jul 2011 -  ,University of Illinois Urbana-Champaign ,"Men's Track, Indoor "
"Turk, Mike H. ",2018-2019,Jul 2011 - Oct 2018 ,University of Illinois Urbana-Champaign ,Men's Cross Country 
