"","Name","Date","Period","School","Sport"
"273","Barker, Stephanie ","2018-2019","Aug 2007 -  ","Morehead State University ","Women's Golf "
"274","Barker, Worley ","2018-2019","Aug 2004 - Mar 2021 ","Texas Southern University ","Softball "
"275","Barlok, Jeffrey ","2018-2019","Sep 2018 -  ","College of the Holy Cross ","Men's Swimming and Diving "
"276","Barlok, Jeffrey ","2018-2019","Sep 2018 -  ","College of the Holy Cross ","Women's Swimming and Diving "
"277","Barlow, Jim ","2018-2019","Aug 2003 -  ","Princeton University ","Men's Soccer "
"278","Barlow, Zach ","2018-2019","Jul 2019 -  ","University of Michigan ","Men's Golf "
"279","Barnard, Mark ","2018-2019","Jul 2016 -  ","Oregon State University ","Women's Volleyball "
"280","Barnes Arico, Kim ","2018-2019","May 2012 -  ","University of Michigan ","Women's Basketball "
"281","Barnes, Adia ","2018-2019","May 2016 -  ","University of Arizona ","Women's Basketball "
"282","Barnes, Bart ","2018-2019","Sep 2017 -  ","Troy University ","Men's Golf "
"283","Barnes, Jim ","2018-2019","Aug 2016 -  ","Tulane University ","Women's Volleyball "
"284","Barnes, John ","2018-2019","Jul 2013 -  ","Youngstown State University ","Women's Basketball "
"285","Barnes, Joseph ","2018-2019","Nov 2018 - Oct 2020 ","Seattle University ","Men's Tennis "
"286","Barnes, Joseph ","2018-2019","Nov 2018 - Oct 2020 ","Seattle University ","Women's Tennis "
"287","Barnes, Rick ","2018-2019","Jun 2015 -  ","University of Tennessee, Knoxville ","Men's Basketball "
"288","Barnes, Rod ","2018-2019","May 2011 -  ","California State University, Bakersfield ","Men's Basketball "
"289","Barnes, Sarah ","2018-2019","Mar 2018 -  ","University of Miami (Florida) ","Women's Soccer "
"290","Barnett, Brett ","2018-2019","Feb 2015 -  ","University of South Dakota ","Women's Tennis "
"291","Barnett, Brian ","2018-2019","Sep 2016 -  ","Indiana University-Purdue University Indianapolis ","Men's Soccer "
"292","Barnett, Keith ","2018-2019","Jan 2019 -  ","U.S. Air Force Academy ","Women's Volleyball "
"293","Barnum, Bruce ","2018-2019","Feb 2015 -  ","Portland State University ","Football "
"294","Barrera, Tim ","2018-2019","Sep 1999 -  ","University of Northern Colorado ","Women's Soccer "
"295","Barrett, David ","2018-2019","Mar 2018 -  ","Fairfield University ","Women's Soccer "
"296","Barrett, Drew ","2018-2019","Aug 2005 -  ","Davidson College ","Men's Tennis "
"297","Barrick, Houston ","2018-2019","Sep 2017 -  ","University of Richmond ","Men's Tennis "
"298","Barron, Richard ","2018-2019","Apr 2018 -  ","University of Maine ","Men's Basketball "
"299","Barroqueiro, Michael ","2018-2019","Feb 2017 -  ","University of Delaware ","Women's Soccer "
"300","Barroso, Joe ","2018-2019","Aug 2005 -  ","Sacred Heart University ","Men's Soccer "
"301","Barrow, Hillary ","2018-2019","Sep 2018 -  ","Quinnipiac University ","Softball "
"302","Barry, Jason ","2018-2019","Oct 2013 -  ","Rider University ","Men's Golf "
"303","Bartholomew, Tracey ","2018-2019","Feb 2014 -  ","Columbia University-Barnard College ","Women's Soccer "
"304","Bartlett, Megan C. ","2018-2019","Aug 2015 -  ","Ball State University ","Softball "
"305","Bartlett, Peter ","2018-2019","Sep 2017 -  ","University of San Francisco ","Women's Tennis "
"306","Barton, Jack ","2018-2019","Jan 2010 -  ","Chicago State University ","Women's Tennis "
"307","Barton, Jack ","2018-2019","Jan 2010 -  ","Chicago State University ","Men's Tennis "
"308","Bartram, Carter ","2018-2019","Sep 2018 -  ","Wagner College ","Women's Fencing "
"309","Bashor, Andy ","2018-2019","Aug 2006 -  ","University at Buffalo, the State University of New York ","Women's Swimming and Diving "
"310","Bashore, Kayla ","2018-2019","Mar 2019 -  ","Indiana University, Bloomington ","Field Hockey "
"311","Basler, Andrew ","2018-2019","Oct 2018 -  ","University of Wisconsin-Milwaukee ","Women's Track, Indoor "
"312","Basler, Andrew ","2018-2019","Oct 2018 -  ","University of Wisconsin-Milwaukee ","Women's Cross Country "
"313","Basler, Andrew ","2018-2019","Oct 2018 -  ","University of Wisconsin-Milwaukee ","Men's Track, Indoor "
"314","Basler, Andrew ","2018-2019","Oct 2018 -  ","University of Wisconsin-Milwaukee ","Men's Track, Outdoor "
"315","Basler, Andrew ","2018-2019","Oct 2018 -  ","University of Wisconsin-Milwaukee ","Men's Cross Country "
"316","Basler, Andrew ","2018-2019","Oct 2018 -  ","University of Wisconsin-Milwaukee ","Women's Track, Outdoor "
"317","Bass, Dan ","2018-2019","Sep 2015 - Sep 2020 ","Fairleigh Dickinson University, Metropolitan Campus ","Women's Fencing "
"318","Bastel Glaser, Emily ","2018-2019","Jul 2012 -  ","University of Florida ","Women's Golf "
"319","Basti, Jonathan ","2018-2019","Aug 2013 -  ","Sacred Heart University ","Men's Lacrosse "
"320","Bastron, Ashley ","2018-2019","Apr 2018 - Sep 2019 ","Purdue University Fort Wayne ","Men's Cross Country "
"321","Bastron, Ashley ","2018-2019","Apr 2018 - Sep 2019 ","Purdue University Fort Wayne ","Women's Track, Outdoor "
"322","Bastron, Ashley ","2018-2019","Apr 2018 - Sep 2019 ","Purdue University Fort Wayne ","Women's Cross Country "
"323","Bastron, Ashley ","2018-2019","Apr 2018 - Sep 2019 ","Purdue University Fort Wayne ","Women's Track, Indoor "
"324","Basye, Brittany ","2018-2019","Aug 2012 -  ","Montana State University-Bozeman ","Women's Golf "
"325","Batcheller, Jill ","2018-2019","Aug 2018 -  ","Drexel University ","Women's Lacrosse "
"326","Batchelor, Fred ","2018-2019","May 2004 -  ","University of Maryland Eastern Shore ","Women's Basketball "
"327","Bates, Mike ","2018-2019","Oct 1995 -  ","St. Bonaventure University ","Men's Tennis "
"328","Bates, Mike ","2018-2019","Oct 1995 -  ","St. Bonaventure University ","Women's Tennis "
"329","Batesole, Mike ","2018-2019","Jul 2002 -  ","California State University, Fresno ","Baseball "
"330","Batie-Smoose, Melissa ","2018-2019","May 2015 - Apr 2019 ","College of the Holy Cross ","Women's Volleyball "
"331","Batiste, Summer ","2018-2019","Aug 2017 -  ","University of Texas at San Antonio ","Women's Golf "
"332","Baucom, Duggar ","2018-2019","Apr 2015 -  ","The Citadel ","Men's Basketball "
"333","Bauerle, Jack ","2018-2019","Aug 1984 -  ","University of Georgia ","Men's Swimming and Diving "
"334","Bauerle, Jack ","2018-2019","Aug 1979 -  ","University of Georgia ","Women's Swimming and Diving "
"335","Baughan, Matt ","2018-2019","Aug 2003 -  ","Cornell University ","Men's Golf "
"336","Bauman, Scott ","2018-2019","Aug 2003 -  ","Southern Utah University ","Women's Gymnastics "
"337","Baumgardner, Danielle ","2018-2019","Aug 2016 - Jul 2020 ","Saint Louis University ","Field Hockey "
"338","Baxter, Andrew ","2018-2019","Jul 2019 -  ","Fairfield University ","Men's Lacrosse "
"339","Baxter, Jeff ","2018-2019","Feb 2018 - Jun 2020 ","University of Portland ","Women's Volleyball "
"340","Bayley, Priscilla ","2018-2019","Feb 2019 -  ","California Polytechnic State University ","Women's Cross Country "
"341","Bayley, Priscilla ","2018-2019","Aug 2018 - Sep 2018 ","University of Virginia ","Women's Cross Country "
"342","Bazin, Norm ","2018-2019","Jun 2011 -  ","University of Massachusetts Lowell ","Men's Ice Hockey "
"343","Bazzani, Johnna ","2018-2019","Feb 2019 -  ","Eastern Kentucky University ","Women's Volleyball "
"344","Bazzani, Johnna ","2018-2019","Feb 2019 -  ","Eastern Kentucky University ","Women's Beach Volleyball "
"345","Beall, Marty ","2018-2019","Feb 2018 -  ","University of Richmond ","Women's Soccer "
"346","Beals, Greg ","2018-2019","Jul 2010 -  ","The Ohio State University ","Baseball "
"347","Beam, Rob ","2018-2019","Apr 2007 -  ","Oakland University ","Women's Volleyball "
"348","Bean, Stacey ","2018-2019","Feb 2017 -  ","Virginia Commonwealth University ","Field Hockey "
"349","Beard, Christopher ","2018-2019","May 2016 -  ","Texas Tech University ","Men's Basketball "
"350","Beard, Jeremy ","2018-2019","Aug 2017 -  ","California State University, Bakersfield ","Baseball "
"351","Beard, Michael ","2018-2019","Dec 2012 -  ","Pepperdine University ","Men's Golf "
"352","Beasley, Frank ","2018-2019","Oct 2017 -  ","George Mason University ","Men's Wrestling "
"353","Beaty, David ","2018-2019","Jan 2015 - Feb 2019 ","University of Kansas ","Football "
"354","Beaver, Bret ","2018-2019","Oct 2018 -  ","Western Carolina University ","Women's Tennis "
"355","Bechard, Ray ","2018-2019","Mar 1998 -  ","University of Kansas ","Women's Volleyball "
"356","Becker, John ","2018-2019","Jun 2011 -  ","University of Vermont ","Men's Basketball "
"357","Beckerman, Todd ","2018-2019","Aug 2013 -  ","Brown University ","Men's Wrestling "
"358","Beckham, Mark ","2018-2019","Aug 2007 -  ","University of Louisville ","Women's Tennis "
"359","Beckwith, Paul ","2018-2019","Sep 1994 -  ","Cornell University ","Women's Gymnastics "
"360","Bedard, Brian ","2018-2019","Jul 2006 -  ","Colorado State University ","Men's Track, Outdoor "
"361","Bedard, Brian ","2018-2019","Jul 2006 -  ","Colorado State University ","Women's Track, Outdoor "
"362","Bedard, Brian ","2018-2019","Jul 2006 -  ","Colorado State University ","Women's Track, Indoor "
"363","Bedard, Brian ","2018-2019","Jul 2006 -  ","Colorado State University ","Men's Track, Indoor "
"364","Bedortha, Brad ","2018-2019","Aug 2007 -  ","Northern Arizona University ","Women's Golf "
"365","Beeler, Jeff ","2018-2019","Aug 2008 -  ","Radford University ","Women's Golf "
"366","Beeman, Laura ","2018-2019","May 2012 -  ","University of Hawaii, Manoa ","Women's Basketball "
"367","Beene, Ritche ","2018-2019","Aug 2008 -  ","Alabama State University ","Men's Cross Country "
"368","Beene, Ritche ","2018-2019","Aug 2008 -  ","Alabama State University ","Men's Track, Indoor "
"369","Beene, Ritche ","2018-2019","Aug 2008 -  ","Alabama State University ","Women's Cross Country "
"370","Beene, Ritche ","2018-2019","Aug 2008 -  ","Alabama State University ","Women's Track, Outdoor "
"371","Beene, Ritche ","2018-2019","Aug 2008 -  ","Alabama State University ","Women's Track, Indoor "
"372","Beene, Ritche ","2018-2019","Aug 2008 -  ","Alabama State University ","Men's Track, Outdoor "
"373","Beguinet, Alex ","2018-2019","Aug 1985 -  ","Duke University ","Women's Fencing "
"374","Beguinet, Alex ","2018-2019","Aug 1985 -  ","Duke University ","Men's Fencing "
"375","Behn, Sarah ","2018-2019","Jul 2014 - May 2020 ","Brown University ","Women's Basketball "
"376","Behnke, JP ","2018-2019","Oct 2018 -  ","University of Arkansas at Little Rock ","Men's Track, Indoor "
"377","Behnke, JP ","2018-2019","Oct 2018 -  ","University of Arkansas at Little Rock ","Women's Track, Outdoor "
"378","Behnke, JP ","2018-2019","Oct 2018 -  ","University of Arkansas at Little Rock ","Men's Track, Outdoor "
"379","Behnke, JP ","2018-2019","Oct 2018 -  ","University of Arkansas at Little Rock ","Women's Track, Indoor "
"380","Behnke, JP ","2018-2019","Oct 2018 -  ","University of Arkansas at Little Rock ","Women's Cross Country "
"381","Behnke, JP ","2018-2019","Oct 2018 -  ","University of Arkansas at Little Rock ","Men's Cross Country "
"382","Beilein, John ","2018-2019","May 2007 - Jun 2019 ","University of Michigan ","Men's Basketball "
"383","Beilein, Patrick ","2018-2019","May 2019 - Dec 2019 ","Niagara University ","Men's Basketball "
"384","Beirne, Elisabeth ","2018-2019","Aug 2017 -  ","Indiana University-Purdue University Indianapolis ","Softball "
"385","Belfield, Matt ","2018-2019","Sep 2003 -  ","University of Vermont ","Women's Track, Outdoor "
"386","Belfield, Matt ","2018-2019","Sep 2003 -  ","University of Vermont ","Men's Track, Outdoor "
"387","Belfield, Matt ","2018-2019","Sep 2003 -  ","University of Vermont ","Women's Track, Indoor "
"388","Belfield, Matt ","2018-2019","Sep 2003 -  ","University of Vermont ","Women's Cross Country "
"389","Belfield, Matt ","2018-2019","Sep 2003 -  ","University of Vermont ","Men's Cross Country "
"390","Belfield, Matt ","2018-2019","Sep 2003 -  ","University of Vermont ","Men's Track, Indoor "
"391","Belichick, Amanda ","2018-2019","Aug 2015 -  ","College of the Holy Cross ","Women's Lacrosse "
"392","Belk, Molly ","2018-2019","Aug 2017 - Feb 2019 ","Manhattan College ","Women's Swimming and Diving "
"393","Belk, Molly ","2018-2019","Aug 2017 - Feb 2019 ","Manhattan College ","Men's Swimming and Diving "
"394","Bell, Brien ","2018-2019","Aug 2018 -  ","Syracuse University ","Women's Cross Country "
"395","Bell, Brien ","2018-2019","Aug 2018 -  ","Syracuse University ","Women's Track, Indoor "
"396","Bell, Brien ","2018-2019","Aug 2018 -  ","Syracuse University ","Men's Cross Country "
"397","Bell, Brien ","2018-2019","Aug 2018 -  ","Syracuse University ","Men's Track, Indoor "
"398","Bell, Brien ","2018-2019","Aug 2018 -  ","Syracuse University ","Men's Track, Outdoor "
"399","Bell, Brien ","2018-2019","Aug 2018 -  ","Syracuse University ","Women's Track, Outdoor "
"400","Bell, Eric ","2018-2019","Jan 2012 -  ","Texas Christian University ","Women's Soccer "
"401","Bell, Jon ","2018-2019","Sep 2007 -  ","Saint Louis University ","Women's Track, Indoor "
"402","Bell, Jon ","2018-2019","Sep 2007 -  ","Saint Louis University ","Women's Track, Outdoor "
"403","Bell, Jon ","2018-2019","Sep 2007 -  ","Saint Louis University ","Men's Track, Outdoor "
"404","Bell, Jon ","2018-2019","Sep 2007 -  ","Saint Louis University ","Women's Cross Country "
"405","Bell, Jon ","2018-2019","Sep 2007 -  ","Saint Louis University ","Men's Track, Indoor "
"406","Bell, Jon ","2018-2019","Sep 2007 -  ","Saint Louis University ","Men's Cross Country "
"407","Bell, Mike ","2018-2019","Aug 2018 -  ","University of Pittsburgh ","Baseball "
"408","Bell, Walt ","2018-2019","Feb 2019 -  ","University of Massachusetts, Amherst ","Football "
"409","Bellomy, Brooke ","2018-2019","Aug 2016 -  ","Marshall University ","Women's Golf "
"410","Belzung, Kristin ","2018-2019","Feb 2017 -  ","Stony Brook University ","Women's Volleyball "
"411","Benatti, Cesar ","2018-2019","Aug 2016 -  ","California State University, Bakersfield ","Women's Beach Volleyball "
"412","Benben, Rick ","2018-2019","Feb 1998 - Feb 2020 ","University of Missouri-Kansas City ","Men's Soccer "
"413","Benitez, Diego ","2018-2019","May 2006 -  ","University of Texas at Arlington ","Women's Tennis "
"414","Benitez, Diego ","2018-2019","May 2006 -  ","University of Texas at Arlington ","Men's Tennis "
"415","Bennett, Alexis ","2018-2019","Oct 2016 -  ","High Point University ","Women's Golf "
"416","Bennett, Anthony ","2018-2019","May 2009 -  ","University of Virginia ","Men's Basketball "
"417","Bennett, Brett ","2018-2019","Aug 2018 -  ","University of South Dakota ","Women's Golf "
"418","Bennett, Geoff ","2018-2019","May 2004 -  ","Colorado College ","Women's Soccer "
"419","Bennett, Louis ","2018-2019","Jan 2006 -  ","Marquette University ","Men's Soccer "
"420","Bennett, Randy ","2018-2019","May 2001 -  ","Saint Mary's College of California ","Men's Basketball "
"421","Bennett, Rick ","2018-2019","May 2011 -  ","Union College (New York) ","Men's Ice Hockey "
"422","Benson, Natalie ","2018-2019","Sep 2017 -  ","California State University, Fresno ","Women's Water Polo "
"423","Bentley, John Mark ","2018-2019","Aug 2009 -  ","Appalachian State University ","Men's Wrestling "
"424","Bentley, Nigel ","2018-2019","Jun 2000 -  ","Boston College ","Women's Tennis "
"425","Berard, David ","2018-2019","Jul 2014 -  ","College of the Holy Cross ","Men's Ice Hockey "
"426","Berbary, Amy ","2018-2019","Mar 2013 - Jan 2019 ","Indiana University, Bloomington ","Women's Soccer "
"427","Berenato, Agnus ","2018-2019","Jun 2016 -  ","Kennesaw State University ","Women's Basketball "
