"","Name","Date","Period","School","Sport"
"172","Archer, David ","2018-2019","Feb 2013 -  ","Cornell University ","Football "
"173","Ardizzone, Mark ","2018-2019","Feb 1997 - Jul 2019 ","DePaul University ","Women's Tennis "
"174","Arlinghaus, Brian ","2018-2019","Aug 2017 -  ","Wright State University ","Men's Golf "
"175","Armstrong, James ","2018-2019","Feb 2019 -  ","Mississippi State University ","Women's Soccer "
"176","Arroyo, Gavin ","2018-2019","Mar 2006 -  ","Long Beach State University ","Men's Water Polo "
"177","Arroyo, Gavin ","2018-2019","Aug 2008 - Jul 2020 ","Long Beach State University ","Women's Water Polo "
"178","Arth, Tom ","2018-2019","Feb 2019 -  ","University of Akron ","Football "
"179","Arth, Tom ","2018-2019","Mar 2017 - Feb 2019 ","University of Tennessee at Chattanooga ","Football "
"180","Asalon, Todd ","2018-2019","Sep 2001 -  ","Northern Kentucky University ","Baseball "
"181","Ascher, Steve ","2018-2019","Aug 2008 -  ","University of Montana ","Women's Tennis "
"182","Ash, Chris ","2018-2019","Jan 2016 - Oct 2019 ","Rutgers, The State University of New Jersey, New Brunswick ","Football "
"183","Ashburn, Ryan ","2018-2019","Aug 2018 -  ","University of Alabama at Birmingham ","Women's Golf "
"184","Ashworth, Jamie ","2018-2019","Aug 1997 -  ","Duke University ","Women's Tennis "
"185","Askew, Nicholas ","2018-2019","Jul 2014 -  ","Howard University ","Men's Swimming and Diving "
"186","Askew, Nicholas ","2018-2019","Jul 2014 -  ","Howard University ","Women's Swimming and Diving "
"187","Aston, Karen ","2018-2019","May 2012 - May 2020 ","University of Texas at Austin ","Women's Basketball "
"188","Atherley, Scott ","2018-2019","Aug 2003 -  ","University of Maine ","Women's Soccer "
"189","Atkins, Dallen ","2018-2019","Sep 2017 -  ","Idaho State University ","Women's Golf "
"190","Atkinson, Brooke ","2018-2019","May 2017 -  ","New Mexico State University ","Women's Basketball "
"191","Atkinson, Bruce ","2018-2019","Mar 2019 -  ","Delaware State University ","Women's Volleyball "
"192","Atkinson, Jon ","2018-2019","Mar 2005 -  ","Longwood University ","Men's Soccer "
"193","Atoa, Sam ","2018-2019","Aug 2004 -  ","Utah Valley University ","Women's Volleyball "
"194","Aufrichtig, Michael ","2018-2019","Aug 2011 -  ","Columbia University-Barnard College ","Women's Fencing "
"195","Aufrichtig, Michael ","2018-2019","Aug 2011 -  ","Columbia University-Barnard College ","Men's Fencing "
"196","Augustus, Amanda ","2018-2019","Aug 2007 -  ","University of California, Berkeley ","Women's Tennis "
"197","Auriemma, Geno ","2018-2019","Jun 1985 -  ","University of Connecticut ","Women's Basketball "
"198","Ausanio, Joe ","2018-2019","Sep 2008 -  ","Marist College ","Softball "
"199","Avent, Elliott ","2018-2019","Sep 1996 -  ","North Carolina State University ","Baseball "
"200","Averill, Jennifer D ","2018-2019","Jul 1992 -  ","Wake Forest University ","Field Hockey "
"201","Avery, Carin ","2018-2019","Aug 2003 -  ","Valparaiso University ","Women's Volleyball "
"202","Avery, Mike ","2018-2019","Feb 2007 -  ","Valparaiso University ","Men's Soccer "
"203","Ayers, Erica ","2018-2019","Sep 2017 -  ","Jacksonville University ","Softball "
"204","Ayres, Chris ","2018-2019","Aug 2006 -  ","Princeton University ","Men's Wrestling "
"205","Azcui, Ramiro ","2018-2019","Feb 2017 -  ","Indiana University, Bloomington ","Women's Tennis "
"206","Azem, Samar ","2018-2019","Sep 2017 -  ","Campbell University ","Women's Soccer "
"207","Azevedo, Matt ","2018-2019","May 2011 -  ","Drexel University ","Men's Wrestling "
"208","Baarts, Rob ","2018-2019","Feb 2018 -  ","New Mexico State University ","Women's Soccer "
"209","Baber, Bill ","2018-2019","Oct 2010 -  ","California Baptist University ","Softball "
"210","Babers, Dino ","2018-2019","Jan 2016 -  ","Syracuse University ","Football "
"211","Babineau, Josette ","2018-2019","Mar 2007 -  ","University of Maine ","Field Hockey "
"212","Babst, Mike ","2018-2019","Feb 2019 -  ","Davidson College ","Men's Soccer "
"213","Badeaux, Lon ","2018-2019","Aug 2011 -  ","University of Louisiana at Lafayette ","Women's Track, Outdoor "
"214","Badeaux, Lon ","2018-2019","Aug 2011 -  ","University of Louisiana at Lafayette ","Women's Cross Country "
"215","Badeaux, Lon ","2018-2019","Aug 2011 -  ","University of Louisiana at Lafayette ","Men's Cross Country "
"216","Badeaux, Lon ","2018-2019","Aug 2011 -  ","University of Louisiana at Lafayette ","Women's Track, Indoor "
